Film,U.S. release date,Box office gross-U.S. and Canada,Box office gross-Other territories,Box office gross-Worldwide,Budget,Runtime,Rotten Tomatoes,Metacritic,CinemaScore,Net_Revenue
Iron Man,"May 2, 2008",319034126,266762121,585796247,140000000,126,94,79,A,445796247
The Incredible Hulk,"June 13, 2008",134806913,129964083,264770996,150000000,112,67,61,A−,114770996
Iron Man 2,"May 7, 2010",312433331,311500000,623933331,200000000,124,72,57,A,423933331
Thor,"May 6, 2011",181030624,268295994,449326618,150000000,115,77,57,B+,299326618
Captain America: The First Avenger,"July 22, 2011",176654505,193915269,370569774,140000000,124,80,66,A−,230569774
Iron Man 3,"May 3, 2013",409013994,806563211,1215577205,200000000,130,79,62,A,1015577205
Thor: The Dark World,"November 8, 2013",206362140,438421000,644783140,170000000,112,67,54,A−,474783140
Captain America: The Winter Soldier,"April 4, 2014",259766572,454654931,714421503,177000000,136,90,70,A,537421503
Guardians of the Galaxy,"August 1, 2014",333718600,439631547,773350147,170000000,122,92,76,A,603350147
Avengers: Age of Ultron,"May 1, 2015",459005868,946012180,1405018048,444000000,141,76,66,A,961018048
Ant-Man,"July 17, 2015",180202163,339109802,519311965,130000000,117,83,64,A,389311965
Captain America: Civil War,"May 6, 2016",408084349,746962067,1155046416,250000000,147,91,75,A,905046416
Doctor Strange,"November 4, 2016",232641920,445154156,677796076,165000000,115,89,72,A,512796076
Guardians of the Galaxy Vol. 2,"May 5, 2017",389813101,473942950,863756051,200000000,137,85,67,A,663756051
Spider-Man: Homecoming,"July 7, 2017",334201140,545965784,880166924,175000000,133,92,73,A,705166924
Thor: Ragnarok,"November 3, 2017",315058289,540243517,855301806,180000000,130,93,74,A,675301806
Black Panther,"February 16, 2018",700426566,649499517,1349926083,200000000,134,96,88,A+,1149926083
Avengers: Infinity War,"April 27, 2018",678815482,1373599557,2052415039,400000000,149,85,68,A,1652415039
Captain Marvel,"March 8, 2019",426829839,704586607,1131416446,175000000,124,79,64,A,956416446
Avengers: Endgame,"April 26, 2019",858373000,1941066100,2799439100,400000000,181,94,78,A+,2399439100
Spider-Man: Far From Home,"July 2, 2019",390532085,741395911,1131927996,160000000,129,90,69,A,971927996
Black Widow,"July 9, 2021",183651655,196100000,79751655,200000000,134,79,68,A−,-120248345
Eternals,"November 5, 2021",164870234,237194665,402064899,236200000,156,47,52,B,165864899
Spider-Man: No Way Home,"December 17, 2021",814115070,1107732041,1921847111,200000000,148,93,71,A+,1721847111
Doctor Strange in the Multiverse of Madness,"May 6, 2022",411331607,544444197,955775804,200000000,126,74,60,B+,755775804
Thor: Love and Thunder,"July 8, 2022",343256830,417671251,760928081,250000000,119,63,57,B+,510928081
Black Panther: Wakanda Forever,"November 11, 2022",453829060,405379776,859208836,250000000,161,84,67,A,609208836
Guardians of the Galaxy Vol. 3,"May 5, 2023",358995815,486559962,845555777,250000000,149,82,64,A,595555777
The Marvels,"November 10, 2023",84500223,121636334,206136557,274800000,105,62,50,B,-68663443
Deadpool & Wolverine,"July 26, 2024",494331382,535200000,1029531382,200000000,128,78,56,A,829531382
